name	intensity-avg	volume
Left-Lateral-Ventricle	19.7617	11715.1
Left-Inf-Lat-Vent	35.8063	642.4
Left-Cerebellum-White-Matter	86.7649	15094.1
Left-Cerebellum-Cortex	56.2484	61607.0
Left-Thalamus-Proper	83.1892	8307.0
Left-Caudate	69.0429	4242.7
Left-Putamen	75.4026	5783.1
Left-Pallidum	93.5428	1974.8
3rd-Ventricle	26.2065	1294.4
4th-Ventricle	21.6245	1771.2
Brain-Stem	81.554	22366.4
Left-Hippocampus	60.556000000000004	4617.7
Left-Amygdala	58.1487	2084.9
CSF	34.8844	1328.0
Left-Accumbens-area	62.058	935.2
Left-VentralDC	88.0963	4433.1
Left-vessel	55.4375	25.3
Left-choroid-plexus	49.106	684.6
Right-Lateral-Ventricle	18.5119	11195.3
Right-Inf-Lat-Vent	30.9115	654.6
Right-Cerebellum-White-Matter	84.4294	15419.9
Right-Cerebellum-Cortex	53.4624	62458.5
Right-Thalamus-Proper	79.1795	7661.9
Right-Caudate	69.137	4367.5
Right-Putamen	74.014	5668.5
Right-Pallidum	91.5107	1877.7
Right-Hippocampus	56.8362	4490.5
Right-Amygdala	55.1213	2274.2
Right-Accumbens-area	64.7571	855.5
Right-VentralDC	85.7621	4635.4
Right-vessel	50.2105	27.6
Right-choroid-plexus	44.4856	644.8
5th-Ventricle	0.0	0.0
WM-hypointensities	66.9247	970.5
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	67.6424	163.2
CC_Posterior	104.5429	942.3
CC_Mid_Posterior	90.8049	547.4
CC_Central	92.0283	528.3
CC_Mid_Anterior	96.4679	569.9
CC_Anterior	105.5437	751.8
