name	intensity-avg	volume
Left-wm-bankssts	96.0008	2381.6
Left-wm-caudalanteriorcingulate	102.6414	2974.2
Left-wm-caudalmiddlefrontal	98.0246	6885.1
Left-wm-cuneus	91.5692	2644.6
Left-wm-entorhinal	80.4003	1248.8
Left-wm-fusiform	90.3851	6396.2
Left-wm-inferiorparietal	97.2685	9860.9
Left-wm-inferiortemporal	89.2405	6888.9
Left-wm-isthmuscingulate	100.0175	4253.6
Left-wm-lateraloccipital	93.051	9992.8
Left-wm-lateralorbitofrontal	94.0391	7691.1
Left-wm-lingual	88.9672	5382.7
Left-wm-medialorbitofrontal	91.6859	4172.6
Left-wm-middletemporal	91.11399999999999	6454.1
Left-wm-parahippocampal	87.5805	1710.6
Left-wm-paracentral	95.6795	4452.4
Left-wm-parsopercularis	97.6829	3528.0
Left-wm-parsorbitalis	86.4485	1380.5
Left-wm-parstriangularis	96.7845	3622.4
Left-wm-pericalcarine	89.2141	2975.0
Left-wm-postcentral	92.9935	7307.7
Left-wm-posteriorcingulate	100.6126	4763.1
Left-wm-precentral	96.0045	14575.7
Left-wm-precuneus	97.5688	10037.8
Left-wm-rostralanteriorcingulate	99.5381	2734.1
Left-wm-rostralmiddlefrontal	95.9377	13622.7
Left-wm-superiorfrontal	94.5416	20503.6
Left-wm-superiorparietal	98.4208	14057.3
Left-wm-superiortemporal	92.2217	8786.8
Left-wm-supramarginal	98.3317	8565.1
Left-wm-frontalpole	89.4409	408.5
Left-wm-temporalpole	71.02600000000001	690.5
Left-wm-transversetemporal	97.515	905.8
Left-wm-insula	92.2448	9609.3
Right-wm-bankssts	97.9211	3214.1
Right-wm-caudalanteriorcingulate	99.0789	2952.2
Right-wm-caudalmiddlefrontal	96.2252	4905.9
Right-wm-cuneus	91.4266	3080.0
Right-wm-entorhinal	74.4741	812.8
Right-wm-fusiform	87.5774	5621.4
Right-wm-inferiorparietal	96.6782	11149.8
Right-wm-inferiortemporal	88.8511	6554.0
Right-wm-isthmuscingulate	99.0931	3615.2
Right-wm-lateraloccipital	92.2722	11341.4
Right-wm-lateralorbitofrontal	95.743	7371.8
Right-wm-lingual	87.0995	6230.3
Right-wm-medialorbitofrontal	94.4447	4060.1
Right-wm-middletemporal	88.9282	6819.0
Right-wm-parahippocampal	85.0182	1640.8
Right-wm-paracentral	96.5404	5045.6
Right-wm-parsopercularis	96.3988	3644.4
Right-wm-parsorbitalis	88.6351	1619.8
Right-wm-parstriangularis	95.98899999999999	3469.7
Right-wm-pericalcarine	88.2896	3183.4
Right-wm-postcentral	93.0491	7455.7
Right-wm-posteriorcingulate	98.985	4927.0
Right-wm-precentral	94.4345	13113.3
Right-wm-precuneus	97.0628	10114.7
Right-wm-rostralanteriorcingulate	100.2241	2080.1
Right-wm-rostralmiddlefrontal	94.4533	16124.2
Right-wm-superiorfrontal	93.3706	19375.7
Right-wm-superiorparietal	96.8539	11806.2
Right-wm-superiortemporal	89.8843	7677.5
Right-wm-supramarginal	99.1391	9500.7
Right-wm-frontalpole	85.079	358.0
Right-wm-temporalpole	74.4564	867.0
Right-wm-transversetemporal	96.1769	699.7
Right-wm-insula	88.6245	10262.9
Left-UnsegmentedWhiteMatter	101.4123	42305.4
Right-UnsegmentedWhiteMatter	100.0097	41660.8
