name	intensity-avg	volume
Left-wm-bankssts	96.3233	2366.7
Left-wm-caudalanteriorcingulate	107.0567	2794.9
Left-wm-caudalmiddlefrontal	94.6194	6467.9
Left-wm-cuneus	93.3195	2691.1
Left-wm-entorhinal	82.568	883.6
Left-wm-fusiform	90.65100000000001	6304.2
Left-wm-inferiorparietal	97.1556	10116.9
Left-wm-inferiortemporal	89.4456	7059.3
Left-wm-isthmuscingulate	104.8405	3695.4
Left-wm-lateraloccipital	89.6474	12046.3
Left-wm-lateralorbitofrontal	94.2197	7153.0
Left-wm-lingual	89.0922	5636.1
Left-wm-medialorbitofrontal	94.9768	3179.9
Left-wm-middletemporal	87.9032	5998.2
Left-wm-parahippocampal	87.9555	1436.3
Left-wm-paracentral	92.6892	4030.0
Left-wm-parsopercularis	95.9071	4822.1
Left-wm-parsorbitalis	87.5165	1161.1
Left-wm-parstriangularis	92.9689	3242.3
Left-wm-pericalcarine	87.6468	2464.7
Left-wm-postcentral	90.0595	8624.8
Left-wm-posteriorcingulate	102.5168	4587.1
Left-wm-precentral	92.8053	12971.1
Left-wm-precuneus	100.5446	9427.9
Left-wm-rostralanteriorcingulate	100.3083	3097.2
Left-wm-rostralmiddlefrontal	95.5864	12600.9
Left-wm-superiorfrontal	92.6188	18213.3
Left-wm-superiorparietal	97.3093	9920.3
Left-wm-superiortemporal	95.1164	8113.5
Left-wm-supramarginal	96.2969	9101.1
Left-wm-frontalpole	84.9962	259.5
Left-wm-temporalpole	76.413	550.6
Left-wm-transversetemporal	98.0173	753.5
Left-wm-insula	95.96	10436.6
Right-wm-bankssts	98.1797	3262.2
Right-wm-caudalanteriorcingulate	103.2268	2887.9
Right-wm-caudalmiddlefrontal	94.6149	6537.2
Right-wm-cuneus	94.5181	3105.2
Right-wm-entorhinal	77.5062	705.8
Right-wm-fusiform	90.9738	5815.5
Right-wm-inferiorparietal	95.1386	12061.1
Right-wm-inferiortemporal	84.2194	5798.1
Right-wm-isthmuscingulate	104.5736	3082.2
Right-wm-lateraloccipital	89.2441	10387.1
Right-wm-lateralorbitofrontal	95.2299	6687.3
Right-wm-lingual	90.962	5385.6
Right-wm-medialorbitofrontal	97.8629	4146.9
Right-wm-middletemporal	86.8606	6392.3
Right-wm-parahippocampal	89.0025	1668.2
Right-wm-paracentral	94.6792	4265.5
Right-wm-parsopercularis	94.7513	3366.3
Right-wm-parsorbitalis	84.5465	1330.3
Right-wm-parstriangularis	92.99799999999999	3422.4
Right-wm-pericalcarine	88.20299999999999	2431.9
Right-wm-postcentral	89.641	7087.9
Right-wm-posteriorcingulate	102.2872	4248.9
Right-wm-precentral	92.0595	13988.6
Right-wm-precuneus	100.8616	11788.5
Right-wm-rostralanteriorcingulate	101.2461	1859.3
Right-wm-rostralmiddlefrontal	94.0028	11290.4
Right-wm-superiorfrontal	92.7837	17914.8
Right-wm-superiorparietal	94.695	11284.6
Right-wm-superiortemporal	89.9546	6981.2
Right-wm-supramarginal	95.0738	8128.3
Right-wm-frontalpole	84.5308	288.5
Right-wm-temporalpole	77.2694	642.1
Right-wm-transversetemporal	94.6996	545.4
Right-wm-insula	94.3082	9094.3
Left-UnsegmentedWhiteMatter	102.9094	31432.1
Right-UnsegmentedWhiteMatter	102.7726	29474.1
