name	intensity-avg	volume
Left-Lateral-Ventricle	28.6132	3514.3
Left-Inf-Lat-Vent	45.2683	249.3
Left-Cerebellum-White-Matter	86.0944	12364.7
Left-Cerebellum-Cortex	57.7198	50754.7
Left-Thalamus-Proper	82.8586	6282.2
Left-Caudate	70.0195	3235.8
Left-Putamen	75.9442	4763.1
Left-Pallidum	92.5097	1519.2
3rd-Ventricle	34.3459	601.7
4th-Ventricle	24.0589	1195.9
Brain-Stem	81.0098	16911.6
Left-Hippocampus	60.0047	3495.2
Left-Amygdala	56.1127	1115.0
CSF	39.0984	682.3
Left-Accumbens-area	62.3653	699.6
Left-VentralDC	86.5766	3651.1
Left-vessel	52.4583	35.8
Left-choroid-plexus	55.1919	400.9
Right-Lateral-Ventricle	28.0258	3201.9
Right-Inf-Lat-Vent	36.295	183.7
Right-Cerebellum-White-Matter	85.6073	12074.1
Right-Cerebellum-Cortex	55.5498	49533.1
Right-Thalamus-Proper	83.5335	6259.3
Right-Caudate	70.6462	3223.5
Right-Putamen	75.0483	4707.2
Right-Pallidum	91.7663	1517.9
Right-Hippocampus	58.1047	3669.1
Right-Amygdala	56.5684	1286.9
Right-Accumbens-area	64.9908	514.2
Right-VentralDC	86.4004	3410.2
Right-vessel	55.1	17.9
Right-choroid-plexus	53.5778	370.9
5th-Ventricle	0.0	0.0
WM-hypointensities	67.9497	628.4
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	76.0469	148.9
CC_Posterior	102.6921	875.7
CC_Mid_Posterior	94.2617	411.8
CC_Central	95.0706	632.0
CC_Mid_Anterior	99.3801	401.9
CC_Anterior	103.1838	869.7
