onset	duration	trial_type
0.0026	2	cue_negative
5.0106	3	img_negative
13.0028	2	cue_neutral
18.0103	3	img_neutral
26.0038	2	cue_negative
31.0183	3	img_negative
39.0048	2	cue_neutral
44.018	3	img_neutral
52.0058	2	cue_neutral
57.0177	3	img_neutral
65.0068	2	cue_negative
70.0174	3	img_negative
78.0078	2	cue_neutral
83.0171	3	img_neutral
91.0088	2	cue_neutral
96.0169	3	img_neutral
104.0098	2	cue_neutral
109.0166	3	img_neutral
117.0108	2	cue_negative
122.0246	3	img_negative
130.0118	2	cue_neutral
135.0243	3	img_negative
143.0128	2	cue_neutral
148.024	3	img_neutral
156.0138	2	cue_negative
161.0237	3	img_neutral
169.0149	2	cue_neutral
174.0234	3	img_neutral
182.0159	2	cue_neutral
187.0231	3	img_neutral
195.0169	2	cue_negative
200.0312	3	img_negative
208.0179	2	cue_negative
213.0309	3	img_neutral
221.0189	2	cue_negative
226.0306	3	img_negative
234.0199	2	cue_negative
239.0303	3	img_negative
247.0209	2	cue_neutral
252.03	3	img_neutral
260.0218	2	cue_negative
265.0297	3	img_negative
273.0228	2	cue_negative
278.0294	3	img_negative
286.0238	2	cue_neutral
291.0374	3	img_neutral
299.0248	2	cue_neutral
304.0371	3	img_negative
312.0258	2	cue_negative
317.0369	3	img_negative
325.0268	2	cue_neutral
330.0366	3	img_neutral
338.0278	2	cue_neutral
343.0363	3	img_negative
351.0288	2	cue_negative
356.036	3	img_neutral
364.0298	2	cue_negative
369.044	3	img_negative
377.0308	2	cue_negative
382.0437	3	img_negative
