onset	duration	trial_type	img_gender	word_gender	response_time	response_hand	response_accuracy
1.0233	0.5	incongruent	male	female	0.7086	left	correct
5.5566	0.5	incongruent	male	female	0.6322	left	correct
10.1148	0.5	incongruent	female	male	0.4509	right	correct
14.6731	0.5	incongruent	female	male	0.6295	right	correct
20.1896	0.5	congruent	female	female	0.4508	right	correct
24.7062	0.5	congruent	female	female	0.4841	right	correct
29.7478	0.5	incongruent	male	female	0.4984	left	correct
34.2811	0.5	congruent	female	female	0.584	right	correct
38.8227	0.5	incongruent	female	male	0.6443	right	correct
44.8392	0.5	incongruent	female	male	0.6457	right	correct
49.3558	0.5	incongruent	female	male	0.5529999999999999	right	correct
54.3724	0.5	incongruent	male	female	0.8433	left	correct
59.389	0.5	congruent	male	male	0.4875	left	correct
64.9056	0.5	congruent	female	female	0.5608	right	correct
69.4222	0.5	incongruent	female	male	0.7011	right	correct
74.4637	0.5	incongruent	male	female	0.6855	left	correct
78.9803	0.5	congruent	female	female	0.8048	right	correct
83.4969	0.5	congruent	male	male	0.4571	left	correct
88.0385	0.5	incongruent	female	male	0.7014	right	correct
93.5551	0.5	incongruent	female	male	0.7366	right	correct
98.5883	0.5	incongruent	male	female	0.5533	left	correct
103.1299	0.5	congruent	female	female	0.6776	right	correct
107.6632	0.5	congruent	female	female	0.6192	right	correct
112.1798	0.5	congruent	female	female	0.5435	right	correct
117.1964	0.5	congruent	female	female	0.5158	right	correct
123.7379	0.5	congruent	female	female	0.5231	right	correct
128.7545	0.5	incongruent	male	female	0.5534	left	correct
135.2961	0.5	congruent	male	male	0.5067	left	correct
140.3127	0.5	congruent	male	male	0.46	left	correct
145.8292	0.5	incongruent	male	female	0.4763	left	correct
150.3458	0.5	incongruent	male	female	0.5496	left	correct
154.8624	0.5	congruent	male	male	0.4819	left	correct
159.379	0.5	incongruent	female	male	0.6532	right	correct
163.8956	0.5	congruent	female	female	0.5325	right	correct
168.4122	0.5	congruent	female	female	0.4208	right	correct
174.4288	0.5	incongruent	female	male	0.6031	right	correct
178.9453	0.5	congruent	male	male	0.6005	left	correct
183.4619	0.5	incongruent	female	male	0.5298	right	correct
188.4785	0.5	incongruent	male	female	0.649	left	correct
193.4951	0.5	congruent	female	female	0.4963	right	correct
198.0117	0.5	incongruent	female	male	0.4716	right	correct
202.5283	0.5	congruent	male	male	0.3299	left	correct
208.0449	0.5	congruent	male	male	0.3932	left	correct
212.5615	0.5	incongruent	male	female	0.4695	right	incorrect
217.078	0.5	congruent	male	male	0.6019	left	correct
222.1113	0.5	congruent	male	male	0.4555	left	correct
226.6279	0.5	incongruent	female	male	0.6937	right	correct
231.6445	0.5	incongruent	female	male	0.7559999999999999	right	correct
237.161	0.5	congruent	male	male	0.5704	left	correct
243.6776	0.5	incongruent	male	female	0.6376	left	correct
248.1942	0.5	congruent	female	female	0.7089	right	correct
254.7108	0.5	congruent	female	female	0.5992	right	correct
259.2273	0.5	incongruent	male	female	1.9885	left	correct
264.2439	0.5	congruent	male	male	0.5769	left	correct
268.7605	0.5	incongruent	female	male	0.6652	right	correct
275.2771	0.5	incongruent	male	female	0.7394	left	correct
280.3103	0.5	congruent	male	male	1.4231	left	correct
284.8269	0.5	congruent	female	female	0.6724	right	correct
289.3435	0.5	congruent	male	male	0.5757	left	correct
293.8601	0.5	congruent	male	male	0.5569	left	correct
298.8767	0.5	incongruent	female	male	0.5303	right	correct
303.3933	0.5	incongruent	female	male	0.7875	right	correct
308.4099	0.5	congruent	female	female	0.6338	right	correct
313.4264	0.5	congruent	female	female	0.5682	right	correct
317.943	0.5	incongruent	male	female	0.5315	left	correct
322.9596	0.5	incongruent	female	male	0.5428	right	correct
327.4762	0.5	incongruent	male	female	0.4841	left	correct
333.4928	0.5	incongruent	male	female	0.5024	left	correct
339.5093	0.5	congruent	male	male	0.5017	left	correct
344.0259	0.5	incongruent	male	female	0.457	left	correct
349.0425	0.5	congruent	female	female	0.6503	right	correct
353.5591	0.5	congruent	male	male	0.5686	left	correct
359.0757	0.5	incongruent	female	male	0.6029	right	correct
363.5923	0.5	congruent	male	male	0.6121	left	correct
368.6089	0.5	incongruent	male	female	0.5884	left	correct
374.1254	0.5	congruent	male	male	0.5288	left	correct
379.142	0.5	incongruent	male	female	3.542	left	correct
384.6586	0.5	congruent	female	female	1.2093	right	correct
390.1752	0.5	incongruent	male	female	1.2776	left	correct
395.6917	0.5	congruent	female	female	0.632	right	correct
401.7083	0.5	congruent	male	male	0.6352	left	correct
406.2249	0.5	incongruent	female	male	0.7826	right	correct
410.7415	0.5	incongruent	female	male	0.6108	right	correct
415.2581	0.5	congruent	female	female	0.5422	right	correct
419.7747	0.5	congruent	male	male	0.7624	left	correct
424.2913	0.5	incongruent	male	female	0.6777	left	correct
429.3079	0.5	congruent	male	male	0.5720000000000001	left	correct
433.8244	0.5	incongruent	female	male	0.6844	right	correct
439.841	0.5	incongruent	female	male	0.6196	right	correct
444.3576	0.5	congruent	male	male	1.285	left	correct
448.8742	0.5	incongruent	male	female	0.7133	left	correct
454.3908	0.5	incongruent	female	male	0.7005	right	correct
458.9074	0.5	congruent	female	female	0.5788	right	correct
465.4239	0.5	congruent	female	female	0.5102	right	correct
470.4405	0.5	congruent	male	male	0.7105	left	correct
475.4571	0.5	incongruent	male	female	0.6017	left	correct
